horizon,approach,mape,baseline_mape,rmse,baseline_rmse
15m,East_Approach,10.795,14.412,32.774,40.264
15m,North_Arar_St,9.031,12.413,50.888,63.936
15m,South_Arar_St,9.146,12.32,51.585,62.289
15m,West_Approach,10.248,13.643,32.026,39.005
30m,East_Approach,11.501,14.406,33.562,40.259
30m,North_Arar_St,9.467,12.413,50.5,63.936
30m,South_Arar_St,9.534,12.332,51.8,62.292
30m,West_Approach,10.943,13.646,33.15,39.006
60m,East_Approach,10.883,14.424,32.832,40.267
60m,North_Arar_St,9.296,12.404,52.203,63.934
60m,South_Arar_St,9.304,12.319,52.599,62.289
60m,West_Approach,10.699,13.649,33.169,39.007
