frame,timestamp,track_id,class,bbox_x1,bbox_y1,bbox_x2,bbox_y2,centroid_x,centroid_y
1,0.0,1,truck,1439.38,171.27,1752.46,416.75,1595.92,294.01
1,0.0,2,car,410.71,395.38,593.83,572.31,502.27,483.85
1,0.0,3,car,563.69,634.29,785.98,857.51,674.84,745.9
1,0.0,4,car,591.82,282.4,691.76,356.28,641.79,319.34
1,0.0,5,car,0.44,841.6,248.09,1080.0,124.26,960.8
1,0.0,6,car,714.34,383.73,850.95,505.92,782.64,444.82
1,0.0,7,car,715.54,325.22,856.72,507.31,786.13,416.26
1,0.0,8,car,666.14,238.31,745.39,299.86,705.77,269.08
1,0.0,9,car,779.68,231.37,865.67,318.08,822.68,274.73
2,0.1,1,truck,1429.67,160.31,1730.21,396.03,1579.94,278.17
2,0.1,2,car,396.89,401.21,581.96,579.94,489.42,490.57
2,0.1,3,car,551.74,649.26,789.38,888.31,670.56,768.79
2,0.1,4,car,592.91,281.12,692.9,355.2,642.91,318.16
2,0.1,6,car,702.77,377.33,853.3,512.31,778.04,444.82
2,0.1,7,car,712.84,327.3,854.0,509.54,783.42,418.42
2,0.1,8,car,669.33,242.53,744.5,300.85,706.91,271.69
2,0.1,9,car,773.56,230.84,863.68,321.67,818.62,276.26
3,0.2,1,truck,1412.66,155.74,1700.71,381.85,1556.69,268.79
3,0.2,2,car,385.8,413.29,573.72,594.92,479.76,504.11
3,0.2,3,car,543.18,668.94,787.96,915.85,665.57,792.4
3,0.2,4,car,585.29,283.34,693.54,363.79,639.42,323.56
3,0.2,6,car,688.4,357.98,862.45,515.15,775.43,436.57
3,0.2,8,car,662.73,238.1,749.48,305.62,706.11,271.86
3,0.2,9,car,773.09,232.3,864.84,324.86,818.96,278.58
4,0.3,1,truck,1396.84,149.2,1675.85,368.66,1536.35,258.93
4,0.3,2,car,379.27,424.24,564.76,603.02,472.01,513.63
4,0.3,3,car,533.77,688.93,786.18,944.53,659.98,816.73
4,0.3,4,car,583.63,282.54,694.88,365.75,639.25,324.15
4,0.3,6,car,690.02,369.38,857.04,520.88,773.53,445.13
4,0.3,8,car,660.2,235.69,746.35,302.86,703.28,269.27
4,0.3,7,car,704.4,328.78,853.93,522.41,779.17,425.6
5,0.4,1,truck,1384.46,148.61,1651.74,359.58,1518.1,254.1
5,0.4,2,car,362.17,436.13,554.2,620.83,458.18,528.48
5,0.4,3,car,520.48,713.38,786.03,983.37,653.26,848.38
5,0.4,4,car,582.02,286.94,692.83,370.34,637.43,328.64
5,0.4,8,car,660.07,238.0,742.52,302.44,701.29,270.22
5,0.4,7,car,692.69,325.62,851.48,532.49,772.09,429.05
